ID,Brand,Model Name,Full Name,Equipment Type,Description,Image URL,is_keep_brand
697586ef20f6373f230307cc,Manitou,1.16S,Manitou 1.16S,,,,True
697586ef20f6373f23030bcb,Vermeer,1.2 ton,Vermeer 1.2 ton,,,,True
697586ef20f6373f2302fcaa,Atlas,100,Atlas 100,,,,False
697586ef20f6373f2302fdc5,Brokk,100,Brokk 100,,,,False
697586ef20f6373f2303085d,Mustang,1000M,Mustang 1000M,,,,False
697586ef20f6373f2302fcab,Atlas,100B,Atlas 100B,,,,False
697586ef20f6373f23030447,JCB,100C-1,JCB 100C-1,,,,True
697586ef20f6373f2302fcac,Atlas,100CT,Atlas 100CT,,,,False
697586ef20f6373f23030353,IHI,102 (dumper) ('2002),IHI 102 (dumper) ('2002),,,,True
697586ef20f6373f23030589,Komatsu,1020 Turbo,Komatsu 1020 Turbo,,,,True
697586ef20f6373f23030354,IHI,102R (dumper) ('2002),IHI 102R (dumper) ('2002),,,,True
697586ef20f6373f23030355,IHI,103 (dumper) ('2002),IHI 103 (dumper) ('2002),,,,True
697586ef20f6373f23030356,IHI,103E (dumper) ('2002),IHI 103E (dumper) ('2002),,,,True
697586ef20f6373f23030357,IHI,107 (Carrier),IHI 107 (Carrier),,,,True
697586ef20f6373f23030358,IHI,10Z,IHI 10Z,,,,True
697586ef20f6373f2302fcad,Atlas,110,Atlas 110,,,,False
697586ef20f6373f2302fdc6,Brokk,110,Brokk 110,,,,False
697586ef20f6373f23030c3b,Wacker Neuson,11002HV,Wacker Neuson 11002HV,,,,True
697586ef20f6373f23030c3c,Wacker Neuson,11002RD,Wacker Neuson 11002RD,,,,True
697586ef20f6373f23030c3d,Wacker Neuson,1101CP (Compact Track Loader),Wacker Neuson 1101CP (Compact Track Loader),,,,True
697586ef20f6373f2302fcae,Atlas,1104,Atlas 1104,,,,False
697586ef20f6373f23030506,Kobelco,115,Kobelco 115,,,,True
697586ef20f6373f2302fcaf,Atlas,120,Atlas 120,,,,False
697586ef20f6373f230304ba,John Deere,120 (US Market),John Deere 120 (US Market),,,,True
697586ef20f6373f23030c3e,Wacker Neuson,1200,Wacker Neuson 1200,,,,True
697586ef20f6373f230300e7,Gehl,12002,Gehl 12002,,,,True
697586ef20f6373f23030c3f,Wacker Neuson,12002,Wacker Neuson 12002,,,,True
697586ef20f6373f23030c40,Wacker Neuson,12002RD,Wacker Neuson 12002RD,,,,True
697586ef20f6373f23030c41,Wacker Neuson,12002RD Vario,Wacker Neuson 12002RD Vario,,,,True
697586ef20f6373f23030c42,Wacker Neuson,1200RD,Wacker Neuson 1200RD,,,,True
697586ef20f6373f23030c43,Wacker Neuson,1202,Wacker Neuson 1202,,,,True
697586ef20f6373f2302fcb0,Atlas,120AB,Atlas 120AB,,,,False
697586ef20f6373f230304bb,John Deere,120C (US Market),John Deere 120C (US Market),,,,True
697586ef20f6373f2302fdc7,Brokk,120D,Brokk 120D,,,,False
697586ef20f6373f2302fcb1,Atlas,120RF,Atlas 120RF,,,,False
697586ef20f6373f23030359,IHI,12J,IHI 12J,,,,True
697586ef20f6373f2303035a,IHI,12JX,IHI 12JX,,,,True
697586ef20f6373f2303035b,IHI,12NX,IHI 12NX,,,,True
697586ef20f6373f2303035c,IHI,12VXE,IHI 12VXE,,,,True
697586ef20f6373f23030c44,Wacker Neuson,1302,Wacker Neuson 1302,,,,True
697586ef20f6373f23030c45,Wacker Neuson,1302RD,Wacker Neuson 1302RD,,,,True
697586ef20f6373f23030c46,Wacker Neuson,1302RD SLR,Wacker Neuson 1302RD SLR,,,,True
697586ef20f6373f23030c47,Wacker Neuson,1400RD,Wacker Neuson 1400RD,,,,True
697586ef20f6373f23030c48,Wacker Neuson,1402,Wacker Neuson 1402,,,,True
697586ef20f6373f23030c49,Wacker Neuson,1402RD (OEM 230x72x43),Wacker Neuson 1402RD (OEM 230x72x43),,,,True
697586ef20f6373f23030c4a,Wacker Neuson,1402RD (OEM 230x96x33),Wacker Neuson 1402RD (OEM 230x96x33),,,,True
697586ef20f6373f23030c4b,Wacker Neuson,1402RD Force,Wacker Neuson 1402RD Force,,,,True
697586ef20f6373f23030c4c,Wacker Neuson,1402RD Primus,Wacker Neuson 1402RD Primus,,,,True
697586ef20f6373f23030c4d,Wacker Neuson,1402RD SLR,Wacker Neuson 1402RD SLR,,,,True
697586ef20f6373f23030c4e,Wacker Neuson,1402RD SLR Primus,Wacker Neuson 1402RD SLR Primus,,,,True
697586ef20f6373f23030c4f,Wacker Neuson,1403,Wacker Neuson 1403,,,,True
697586ef20f6373f23030c50,Wacker Neuson,1403 ('2002),Wacker Neuson 1403 ('2002),,,,True
697586ef20f6373f23030c51,Wacker Neuson,1403RD,Wacker Neuson 1403RD,,,,True
697586ef20f6373f23030c52,Wacker Neuson,1404,Wacker Neuson 1404,,,,True
697586ef20f6373f23030c53,Wacker Neuson,14504,Wacker Neuson 14504,,,,True
697586ef20f6373f2303035d,IHI,14NXT,IHI 14NXT,,,,True
