Make,Model,Track Sizes (Base),Track Sizes (Display),Track Sizes (Canonical w/ N/W)
A.X.I.,FR300AA (Crane),300x55x82;300x52.5x84,300x55x82;300x52.5x84,300x55x82;300x52.5x84
ACM,ME040,300x55x82;300x52.5x84,300x55x82;300x52.5x84,300x55x82;300x52.5x84
ALLEN,AT14F,180x72x37,180x72x37,180x72x37
ALLEN,AT16,180x72x42,180x72x42,180x72x42
ALLtrack,AT1500,700x100x98,700x100x98,700x100x98
ALLtrack,AT2200,750x150x66,750x150x66,750x150x66
ASV,MD-70,18x4x220;457x101.6x5588,18x4x220;457x101.6x5588,18x4x220;457x101.6x5588
ASV,POSI-TRAC 2800,18x4x220;457x101.6x5588,18x4x220;457x101.6x5588,18x4x220;457x101.6x5588
ASV,POSI-TRAC 2810,18x4x220;457x101.6x5588,18x4x220;457x101.6x5588,18x4x220;457x101.6x5588
ASV,POSI-TRAC 4800,18x4x220;457x101.6x5588,18x4x220;457x101.6x5588,18x4x220;457x101.6x5588
ASV,POSI-TRAC 4810,18x4x220;457x101.6x5588,18x4x220;457x101.6x5588,18x4x220;457x101.6x5588
ASV,POSI-TRAC HD4500,18x4x220;457x101.6x5588,18x4x220;457x101.6x5588,18x4x220;457x101.6x5588
ASV,POSI-TRAC HD4520,18x4x220;457x101.6x5588,18x4x220;457x101.6x5588,18x4x220;457x101.6x5588
ASV,PT 100,18x4x220;457x101.6x5588,18x4x220;457x101.6x5588,18x4x220;457x101.6x5588
ASV,PT 50,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216
ASV,PT 60,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216
ASV,PT 80,18x4x201;457x101.6x5105,18x4x201;457x101.6x5105,18x4x201;457x101.6x5105
ASV,RC 100,18x4x200;457x101.6x5080,18x4x200;457x101.6x5080,18x4x200;457x101.6x5080
ASV,RC 50,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216
ASV,RC 60,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216
ASV,RC 85,18x4x200;457x101.6x5080,18x4x200;457x101.6x5080,18x4x200;457x101.6x5080
ASV,RCV,18x4x200;457x101.6x5080,18x4x200;457x101.6x5080,18x4x200;457x101.6x5080
ASV,RT 50,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216
ASV,RT 65,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216
ASV,RT 75,18x4x201;457x101.6x5105,18x4x201;457x101.6x5105,18x4x201;457x101.6x5105
ASV,SC-50,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216
ASV,SR-80,18x4x201;457x101.6x5105,18x4x201;457x101.6x5105,18x4x201;457x101.6x5105
ASV,ST-50,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216
ASV,VT-70,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216,15x4x166;381x101.6x4216
ATN,ATN | PIAF450 (Platform - non-marking tracks),230x96x32;230x48x64,230x96x32;230x48x64,230x96x32;230x48x64
ATN,ATN | PIAF560 (Platform - non-marking tracks),230x96x32;230x48x64,230x96x32;230x48x64,230x96x32;230x48x64
ATN,ATN | PIAF800 (Platform - non-marking tracks),230x96x34;230x48x68,230x96x34;230x48x68,230x96x34;230x48x68
ATN,ATN | PIAF810,230x96x34;230x48x68,230x96x34;230x48x68,230x96x34;230x48x68
ATN,ATN | PIAF811,230x96x34;230x48x68,230x96x34;230x48x68,230x96x34;230x48x68
Abbati,BBT954-5.16,180x72x37,180x72x37,180x72x37
Abbati,BBT954-5.17,180x60x38,180x60x38,180x60x38
Aces,HTC500 (Dumper),180x60x37,180x60x37,180x60x37
Active,PT1300,180x60x30,180x60x30,180x60x30
Active,PT1320,180x60x34,180x60x34,180x60x34
Active,PT1460,180x60x37,180x60x37,180x60x37
Agri,DM10,230x72x43,230x72x43,230x72x43
Aichi,FR300 (Crane),300x55x82;300x52.5x84,300x55x82;300x52.5x84,300x55x82;300x52.5x84
Aichi,RM040,200x72x42,200x72x42,200x72x42
Aichi,RV040 (Lifting platform),200x72x42,200x72x42,200x72x42
Aichi,RV041 (Lifting platform),200x72x42,200x72x42,200x72x42
Aichi,RV042 (Lifting platform),230x72x50,230x72x50,230x72x50
Aichi,RV04A (Lifting platform),230x72x42;200x72x42,230x72x42;200x72x42,230x72x42;200x72x42
Aichi,RV060 (Lifting platform),230x72x56,230x72x56,230x72x56
Aichi,RV061 (Lifting platform),230x72x56,230x72x56,230x72x56
Airman,AX 17,230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Airman,AX 17 - 2,230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Airman,AX 17 - 2N,230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Airman,AX 17CGL-2N,230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Airman,AX 17U,230x96x35;230x48x70,230x96x35;230x48x70,230x96x35;230x48x70
Airman,AX08,180x72x37,180x72x37,180x72x37
Airman,AX08-02,180x72x37,180x72x37,180x72x37
