ID,Size,Price,Width Variant,Inventory Count,Is In Stock,Description
68fd94219c5aa599a844be7e,300x55x82,,,,,
68fd94219c5aa599a844be5d,300x52.5x84,,,,,
68fd94219c5aa599a844be39,180x72x37,,,,,
68fd94219c5aa599a844be3a,180x72x42,,,,,
68fd94219c5aa599a844be64,700x100x98,,,,,
68fd94219c5aa599a844be65,750x150x66,,,,,
68fd94219c5aa599a844be97,18x4x220,,,,,
68fd94219c5aa599a844be98,457x101.6x5588,,,,,
68fd94219c5aa599a844be99,15x4x166,,,,,
68fd94219c5aa599a844be9a,381x101.6x4216,,,,,
68fd94219c5aa599a844be9b,18x4x201,,,,,
68fd94219c5aa599a844be9c,457x101.6x5105,,,,,
68fd94219c5aa599a844be9d,18x4x200,,,,,
68fd94219c5aa599a844be9e,457x101.6x5080,,,,,
68fd94219c5aa599a844be4d,230x96x32,,,,,
68fd94219c5aa599a844be4e,230x48x64,,,,,
68fd94219c5aa599a844bea5,230x96x34,,,,,
68fd94219c5aa599a844bea6,230x48x68,,,,,
68fd94219c5aa599a844be7f,180x60x38,,,,,
68fd94219c5aa599a844be42,180x60x37,,,,,
68fd94219c5aa599a844be80,180x60x30,,,,,
68fd94219c5aa599a844be81,180x60x34,,,,,
68fd94219c5aa599a844be1f,230x72x43,,,,,
68fd94219c5aa599a844be45,200x72x42,,,,,
68fd94219c5aa599a844be82,230x72x50,,,,,
68fd94219c5aa599a844be3b,230x72x42,,,,,
68fd94219c5aa599a844be83,230x72x56,,,,,
68fd94219c5aa599a844be4b,230x96x33,,,,,
68fd94219c5aa599a844be4c,230x48x66,,,,,
68fd94219c5aa599a844be85,230x96x35,,,,,
68fd94219c5aa599a844be86,230x48x70,,,,,
68fd94219c5aa599a844be20,180x72x40,,,,,
68fd94219c5aa599a844be29,230x96x31,,,,,
68fd94219c5aa599a844be2a,230x48x62,,,,,
68fd94219c5aa599a844be84,230x48x63,,,,,
68fd94219c5aa599a844be87,250x52.5x73,,,,,
68fd94219c5aa599a844be2c,300x52.5x72,,Narrow,,,
68fd94219c5aa599a844be88,250x107x38,,,,,
68fd94219c5aa599a844be5b,300x52.5x76,,,,,
68fd94219c5aa599a844be89,250x96x41,,,,,
68fd94219c5aa599a844bee5,250x47x84,,,,,
68fd94219c5aa599a844bee4,250x48x82,,,,,
68fd94219c5aa599a844beaa,250x52.5x76,,,,,
68fd94219c5aa599a844be5b,300x52.5x76,,Narrow,,,
68fd94219c5aa599a844bee3,300x55x74,,Narrow,,,
68fd94219c5aa599a844be59,300x52.5x80,,Narrow,,,
68fd94219c5aa599a844be2e,300x52.5x78,,Narrow,,,
68fd94219c5aa599a844bf04,300x55x80,,Narrow,,,
68fd94219c5aa599a844be30,300x52.5x82,,Narrow,,,
68fd94219c5aa599a844be8d,300x52.5x86,,Narrow,,,
68fd94219c5aa599a844be33,400x72.5x72,,,,,
68fd94219c5aa599a844be5e,400x73x72,,,,,
68fd94219c5aa599a844be8a,400x142x37,,,,,
68fd94219c5aa599a844be3e,400x73x74,,,,,
68fd94219c5aa599a844be3f,400x72.5x74,,,,,
68fd94219c5aa599a844be48,180x72x36,,,,,
68fd94219c5aa599a844be8b,20x96x33,,,,,
68fd94219c5aa599a844be2f,300x109x40,,,,,
68fd94219c5aa599a844be30,300x52.5x82,,,,,
68fd94219c5aa599a844be8c,300x109x42,,,,,
68fd94219c5aa599a844be8d,300x52.5x86,,,,,
68fd94219c5aa599a844be8e,400x146x36,,,,,
68fd94219c5aa599a844be63,250x72x57,,,,,
68fd94219c5aa599a844be8f,250x72x64,,,,,
68fd94219c5aa599a844be61,200x72x47,,,,,
68fd94219c5aa599a844be37,200x72x34,,,,,
68fd94219c5aa599a844be91,230x96x39,,,,,
68fd94219c5aa599a844be92,250x48x78,,,,,
,320x52.5x88,,Narrow,,,
68fd94219c5aa599a844be70,300x52.5x88,,Narrow,,,
68fd94219c5aa599a844be90,300x54x82,,,,,
68fd94219c5aa599a844be5d,300x52.5x84,,Narrow,,,
68fd94219c5aa599a844be93,400x72.5x76,,,,,
68fd94219c5aa599a844be94,450x76x82,,,,,
68fd94219c5aa599a844be95,230x78x42,,,,,
68fd94219c5aa599a844bf0a,300x55x76,,Narrow,,,
68fd94219c5aa599a844be26,250x72x52,,,,,
68fd94219c5aa599a844be96,250x72x56,,,,,
68fd94219c5aa599a844bec2,300x52.5x92,,Narrow,,,
68fd94219c5aa599a844be9f,200x72x38,,,,,
68fd94219c5aa599a844be58,180x72x38,,,,,
68fd94219c5aa599a844bea0,200x72x39,,,,,
68fd94219c5aa599a844bea1,200x72x41,,,,,
68fd94219c5aa599a844be5f,300x109x39,,,,,
68fd94219c5aa599a844be59,300x52.5x80,,,,,
68fd94219c5aa599a844be73,450x71x86,,,,,
68fd94219c5aa599a844be51,300x55x72,,,,,
68fd94219c5aa599a844be5a,300x52.5x74,,Narrow,,,
68fd94219c5aa599a844bea2,320x100x41,,,,,
68fd94219c5aa599a844be38,180x72x34,,,,,
68fd94219c5aa599a844bea3,300x109x36,,,,,
68fd94219c5aa599a844be5c,300x109x41,,,,,
68fd94219c5aa599a844bea4,400x142x38,,,,,
68fd94219c5aa599a844be57,250x72x48,,,,,
68fd94219c5aa599a844be4a,230x72x45,,,,,
68fd94219c5aa599a844be1e,250x72x45,,,,,
68fd94219c5aa599a844be55,190x72x37,,,,,
68fd94219c5aa599a844bea7,108x72x37,,,,,
68fd94219c5aa599a844bea8,180x60x28,,,,,
68fd94219c5aa599a844be44,200x72x37,,,,,
68fd94219c5aa599a844bea9,170x60x34,,,,,
68fd94219c5aa599a844be41,180x60x35,,,,,
,300x54x74,,Narrow,,,
68fd94219c5aa599a844beaa,250x52.5x76,,Narrow,,,
68fd94219c5aa599a844be49,200x72x36,,,,,
68fd94219c5aa599a844beab,250x107.5x37,,,,,
68fd94219c5aa599a844bf21,230x72x37,,,,,
68fd94219c5aa599a844be5a,300x52.5x74,,,,,
68fd94219c5aa599a844beac,320x52.5x74,,,,,
68fd94219c5aa599a844bead,320x52.5x80,,,,,
68fd94219c5aa599a844bead,320x52.5x80,,Narrow,,,
68fd94219c5aa599a844beae,320x55x88,,,,,
68fd94219c5aa599a844beaf,180x72x39,,,,,
68fd94219c5aa599a844beb0,500x92x78,,,,,
68fd94219c5aa599a844be24,450x86x56,,,,,
68fd94219c5aa599a844be6c,320x86x52,,,,,
68fd94219c5aa599a844beb1,450x86x52,,,,,
68fd94219c5aa599a844beb2,450x84x53,,,,,
68fd94219c5aa599a844beb3,450x86x60,,,,,
68fd94219c5aa599a844be75,230x48x72,,,,,
68fd94219c5aa599a844beb4,300x55x81,,,,,
68fd94219c5aa599a844beb5,350x55x88,,,,,
68fd94219c5aa599a844beb6,450x81x76,,,,,
68fd94219c5aa599a844beb7,180x72x45,,,,,
68fd94219c5aa599a844be6b,320x86x50,,,,,
68fd94219c5aa599a844bebd,400x86x50,,,,,
,375x86x50,,,,,
68fd94219c5aa599a844bf35,400x86x52,,,,,
68fd94219c5aa599a844bf70,375x86x52,,,,,
68fd94219c5aa599a844beb8,250x75x52,,,,,
68fd94219c5aa599a844be27,300x84x46,,,,,
68fd94219c5aa599a844beb9,320x86x45,,,,,
68fd94219c5aa599a844be21,320x86x49,,,,,
68fd94219c5aa599a844beba,400x86x49,,,,,
68fe7532258cf8e23fb2ed8f,13x4x56,,,,,
68fe7532258cf8e23fb2ed80,18x4x56,,,,,
68fd94219c5aa599a844bebb,450x86x55,,,,,
68fd94219c5aa599a844bebc,400x86x55,,,,,
68fe7532258cf8e23fb2ed8b,18x4x51,,,,,
68fd94219c5aa599a844bebe,320x86x53,,,,,
68fd94219c5aa599a844bebf,450x86x53,,,,,
68fd94219c5aa599a844bedf,400x86x53,,,,,
68fd94219c5aa599a844be25,450x86x58,,,,,
68fd94219c5aa599a844bec0,450x84x59,,,,,
68fd94219c5aa599a844be34,250x72x47,,,,,
,300x55x71,,Narrow,,,
68fd94219c5aa599a844be7a,320x54x78,,,,,
68fd94219c5aa599a844be79,320x54x72,,,,,
68fd94219c5aa599a844bec1,300x54x78,,,,,
68fd94219c5aa599a844bec2,300x52.5x92,,,,,
68fd94219c5aa599a844bec3,230x72x39,,,,,
68fd94219c5aa599a844be2e,300x52.5x78,,,,,
