record_id,import_batch,launch_priority,brand,part_category,part_subtype,primary_part_number,alt_part_numbers,superseded_part_numbers,oem_equivalent,product_name,compatible_models_text,compatible_models,equipment_type,track_sizes,serial_ranges,chassis_mount_notes,serial_notes,position_notes,installation_notes,wear_indicators,fitment_notes,confidence,imported_by_rtw,sold_by_rtw,owner_approved,verification_notes,source_urls,last_verified,publish_status,index_status,sitemap_include,date_added,date_modified,slug,seo_title,seo_h1,seo_h2,meta_description,canonical_type,breadcrumb_label,page_intro,custom_fitment_notes,wear_patterns,replacement_symptoms,operating_environments,installation_guidance,maintenance_notes,oem_references,terrain_applications,expert_tips,related_sprockets,related_rollers,related_idlers,related_carrier_rollers,related_track_sizes,price_tier,has_quantity_pricing,supplier_sku,supplier_name,lead_time_days,stock_status,seo_title_override,meta_description_override,verification_source
UP-0001,LAUNCH-V1,1,Kubota,roller,bottom,V0511-25104,V0511-25100,,V0511-25104,Kubota SVL75 and SVL90 compact track loaders bottom rollers,"Kubota SVL65-2, SVL75, SVL90, SVL95-2S, SVL97-2",SVL65-2|SVL75|SVL90|SVL95-2S|SVL97-2,compact-track-loader,320x86x52|380x86x52,,,,,Requires 2 per machine. Torque bolts to 65 ft-lbs.,Check roller diameter - replace when worn below 4.5 inches.,Direct OEM fit. No modifications required.,verified-imported-sold,YES,YES,YES,User-confirmed: imported and sold with no known issue.,https://store.rubbertrax.com/|https://www.rubbertrax.com/,2024-01-15,published,YES,YES,2024-01-01,2024-01-15,kubota-v0511-25104-bottom-roller,"Kubota V0511-25104 Bottom Roller for SVL65, SVL75, SVL90 & SVL95",Kubota Bottom Roller V0511-25104,Compatible with SVL65-2 through SVL97-2,"In-stock Kubota Bottom Roller V0511-25104. Fits SVL65-2, SVL75, SVL90, SVL95-2S, SVL97-2. Wholesale pricing from Houston.",part,V0511-25104 Bottom Roller,The Kubota V0511-25104 bottom roller is a direct OEM replacement for Kubota SVL-series compact track loaders. This premium quality roller ensures smooth track operation and extended undercarriage life.,Verified fitment for all SVL65-2 through SVL97-2 models. 2 rollers required per machine.,Uneven wear patterns across roller surface indicate misalignment. Flat spots suggest debris damage or overloading.,Replace when: roller diameter below 4.5 inches; visible flat spots; excessive play in bearings; grinding noise during operation.,"Performs well in construction, landscaping, agriculture, and forestry applications. Rated for rocky terrain and demolition work.",1. Raise machine on stands. 2. Remove track tension. 3. Remove mounting bolts. 4. Install new roller. 5. Torque to 65 ft-lbs. 6. Restore track tension.,Inspect every 250 hours. Clean debris from roller area. Check for oil leaks from seals.,OEM Part: V0511-25104. Also known as: V0511-25100 (superseded),All terrain types: mud; rock; sand; concrete; asphalt. Heavy-duty construction rated.,Always replace rollers in pairs for even wear. Check idler and sprocket condition when replacing rollers.,UP-0011,UP-0002|UP-0003,UP-0021,,320x86x52|380x86x52,standard,YES,,,3.0,in-stock,,,
UP-0002,LAUNCH-V1,1,CAT,roller,bottom,304-1890,536-3549|389-7624,,304-1890,CAT 259D Bottom Roller,"259D, 279D, 289D, 299D, 259B3, 259D3, 279D3, 289D3, 299D3",259D|279D|289D|299D|259B3|259D3|279D3|289D3|299D3,compact-track-loader,,,,,,Standard installation. Requires roller removal tool.,Measure center flange - replace when worn to less than spec.,Fits all listed models without modification.,verified-imported-sold,YES,YES,YES,User-confirmed: imported and sold.,https://store.rubbertrax.com/|https://www.flundercarriage.com/,2024-01-15,published,YES,YES,2024-01-01,2024-01-15,cat-304-1890-bottom-roller,"CAT 304-1890 Bottom Roller for 259D, 279D, 289D & 299D",CAT Bottom Roller 304-1890,Compatible with CAT 200 and 300 Series CTLs,"In-stock CAT Bottom Roller 304-1890. Fits 259D, 279D, 289D, 299D series. Wholesale pricing from Houston.",part,304-1890 Bottom Roller,The CAT 304-1890 bottom roller is a premium replacement for Caterpillar compact track loaders. Dual flange design ensures proper track alignment.,Verified fitment for CAT 259/279/289/299 D-series and B3/D3 variants.,Center flange wear indicates normal operation. Edge wear suggests track misalignment or tensioning issues.,Replace when: flange height below specification; bearing play exceeds tolerance; seal leakage visible.,"Rated for heavy construction, demolition, and material handling. Excellent in abrasive conditions.",1. Support machine safely. 2. Release track tension. 3. Remove retaining hardware. 4. Slide out old roller. 5. Install new roller. 6. Restore tension.,Clean undercarriage after each shift. Inspect rollers during daily walkaround.,OEM Part: 304-1890. Cross-references: 536-3549 (early); 389-7624 (alternate).,Construction and demolition rated. Handles concrete; asphalt; rocky terrain.,Pair with genuine CAT idlers and sprockets for optimal performance. Monitor track tension daily.,UP-0012,UP-0001|UP-0003,UP-0022,,,standard,YES,,,3.0,in-stock,,,
UP-0003,LAUNCH-V1,1,Bobcat,roller,bottom,7199389,6811586,,7199389,Bobcat T650 Bottom Roller,"T550, T590, T595, T630, T650, T740, T750, T770, T870",T550|T590|T595|T630|T650|T740|T750|T770|T870,compact-track-loader,,,,,,Uses standard Bobcat mounting pattern.,Check for flat spots and excessive play.,Compatible with all T-series listed.,verified-imported-sold,YES,YES,YES,User-confirmed: imported and sold with no known issue.,https://store.rubbertrax.com/,2024-01-15,published,YES,YES,2024-01-01,2024-01-15,bobcat-7199389-bottom-roller,"Bobcat 7199389 Bottom Roller for T550, T650, T770 & T870",Bobcat Bottom Roller 7199389,Compatible with Bobcat T-Series 550-870,In-stock Bobcat Bottom Roller 7199389. Fits T550 through T870 series. Wholesale pricing from Houston.,part,7199389 Bottom Roller,The Bobcat 7199389 bottom roller provides reliable support for Bobcat T-series compact track loaders. Precision-machined for proper track engagement.,Verified fitment for Bobcat T550 through T870 models. Standard mounting pattern.,Wear concentrated on one side indicates track misalignment. Even wear is normal operation.,Replace when: visible flat spots; bearing noise; wobble during rotation; seal leakage.,Landscaping; agriculture; construction; snow removal. Multi-terrain capable.,Standard Bobcat installation procedure. Refer to service manual for torque specifications.,Regular cleaning extends roller life. Inspect seals for debris intrusion.,OEM Part: 7199389. Supersedes: 6811586.,All standard terrain types. Not rated for extreme rocky conditions without track guards.,Keep tracks properly tensioned to reduce roller wear. Replace in pairs when possible.,UP-0013,UP-0001|UP-0002,UP-0023,,,standard,YES,,,3.0,in-stock,,,
staged-001,rubbertrax-research-55,staged,Bobcat,roller,bottom,6693239,7233399; 6732901; 6689371,Previous solid mount post/nut version is 6732901; regular bolt-style solid mount roller is 6689371.,,Bobcat Suspension Mount Bottom Roller 6693239 - Low Serials,"Bobcat T180, T190, T250, T320, T550, T590, T630, T650, T750, T770 with suspension undercarriage / applicable serial ranges",,compact-track-loader,,,Suspension undercarriage / leaf-spring suspension system; newer suspension mount style; bolts sold separately. Not interchangeable with solid mount.,"T550: A7UJ11001+ and AJZV11001+; if AJZV14001-AJZV14999 or AJZV15001+ use 7233399. T590: A3NR11001-A3NR15598, A3NS11001-A3NS11999, ALJU11001-ALJU16824, B37811001-B37811103; higher serial ranges use 7233399. T320/T630/T650/T750/T770 have serial-specific ranges.",,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Bobcat Suspension Mount Bottom Roller 6693239 - Low Serials,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Bobcat 6693239 Bottom Roller | Rubber Track Wholesale,Replacement bottom roller 6693239 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,RubberTrax research
staged-002,rubbertrax-research-55,staged,Bobcat,roller,bottom,6698047,7323310,RubberTrax says 7323310 is not interchangeable with smaller/previous Bobcat track loader rollers.,,Bobcat T870 Suspension Mount Bottom Roller,Bobcat T870 torsion / suspension mount track loader; lower serial ranges before B47 break,,compact-track-loader,,,T870 torsion/suspension mount system. Verify solid vs suspension mount.,"Prior to B47 serial break used 6698047; B47C11001+, B47L11001+, B47H11001+ use 7323310.",,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Bobcat T870 Suspension Mount Bottom Roller,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Bobcat 6698047 Bottom Roller | Rubber Track Wholesale,Replacement bottom roller 6698047 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,RubberTrax research
staged-003,rubbertrax-research-55,staged,Bobcat,roller,bottom,6732901,6689371; 6686632; 31C1224 bolts,6689371/6686632 are common dealer part numbers; bolt hardware may be 31C1224.,,Bobcat CTL Bolt Style Bottom Roller / rigid mount family,"Bobcat T140, T180, T190, T200, T250, T300, T320, T550, T590, T630, T650, T750, T770, 864",,compact-track-loader,,,Solid mount / rigid mount CTL bottom roller; newer bolt option; prior version post/nut 6732901. Not for suspension mount.,"T630 AJDT11001-AJDT12076 solid mount; T550 A7UJ11001+ / AJZV11001-AJZV13999; T590 A3NR11001-A3NR15598, A3NS11001-A3NS11999, ALJU11001-ALJU16824, B37811001-B37811103; T750 ANKA11001+ / ATF611001+; T770 requires serial/type verification.",,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Bobcat CTL Bolt Style Bottom Roller / rigid mount family,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Bobcat 6732901 Bottom Roller | Rubber Track Wholesale,Replacement bottom roller 6732901 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,RubberTrax research
staged-004,rubbertrax-research-55,staged,Bobcat,roller,bottom,6800510,6815115; 6814878; 6533654,"Source was Summit Rubber Tracks / Parts ASAP, not RubberTrax.",,Bobcat 6800510 Bottom Roller,"Bobcat 220; Bobcat mini excavators 220, 320, 320D, 320J, 322, 322D, 322G, 323",,compact-track-loader,,,Nut mounted,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Bobcat 6800510 Bottom Roller,,,,,,Non-RubberTrax source; do not publish unless owner manually approves.,,,,,,,,,,,,,,,,,,,,Bobcat 6800510 Bottom Roller | Rubber Track Wholesale,Replacement bottom roller 6800510 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,RubberTrax research
staged-005,rubbertrax-research-55,staged,Bobcat,roller,bottom,6814874,6815111; 7136983,Shaft threading M16; max torque 250 Nm / 185 ft-lb noted by RubberTrax.,,Bobcat 320/322 Bottom Track Roller; Bobcat 335/430 Carrier Roller,"Bottom roller: Bobcat 320D, 320E, 320G, 320J, 320L, 322D, 322E, 322G, 322J, 322L. Top/carrier roller: Bobcat 335, 430.",,compact-track-loader,,,Bottom roller for Bobcat 320/322; carrier/top roller on Bobcat 335/430; phased out/replaced by 7136983 bolt-type installation.,Does not fit serial numbers 511720000-5117300000; rubber-track-original undercarriages only; verify serial.,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Bobcat 320/322 Bottom Track Roller; Bobcat 335/430 Carrier Roller,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Bobcat 6814874 Bottom Roller | Rubber Track Wholesale,Replacement bottom roller 6814874 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,RubberTrax research
staged-006,rubbertrax-research-55,staged,Bobcat,roller,bottom,6814882,6815119; 7013575; 7013581; 7019167; 6810770,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",,compact-track-loader,,,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Steel track machines may use alternate roller 6814886.,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Bobcat 331/335/430 Mini Excavator Bottom Roller,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Bobcat 6814882 Bottom Roller | Rubber Track Wholesale,Replacement bottom roller 6814882 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,RubberTrax research
staged-007,rubbertrax-research-55,staged,Bobcat,roller,bottom,6814890,6815127; 6693496; 7013577; 7279612,Five bottom rollers per side on Bobcat 337 noted by RubberTrax.,,Bobcat 337/341/435 Bottom Roller,"Bobcat 337, 337D, X337, 341, 341G, 435, X435",,compact-track-loader,,,Previous generation threaded post/nut-style roller; superseded to bolt-type 7013577 / 7279612.,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Bobcat 337/341/435 Bottom Roller,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Bobcat 6814890 Bottom Roller | Rubber Track Wholesale,Replacement bottom roller 6814890 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,RubberTrax research
