row_id,brand,part_type,part_subtype,vercel_component_type,primary_part_number,input_alt_part_numbers,extracted_alt_part_numbers,product_name_verified,machine_fitments_text,serial_break_notes,chassis_mount_notes,interchange_supersession_notes,component_seo_title,component_h1,meta_description,source_confidence,source_status,rubbertrax_verified,publish_recommendation,should_publish_part_page,source_url,notes_for_vercel
1,Bobcat,roller,bottom,bottom_roller,6693239,7233399,7233399; 6732901; 6689371,Bobcat Suspension Mount Bottom Roller 6693239 - Low Serials,"Bobcat T180, T190, T250, T320, T550, T590, T630, T650, T750, T770 with suspension undercarriage / applicable serial ranges","T550: A7UJ11001+ and AJZV11001+; if AJZV14001-AJZV14999 or AJZV15001+ use 7233399. T590: A3NR11001-A3NR15598, A3NS11001-A3NS11999, ALJU11001-ALJU16824, B37811001-B37811103; higher serial ranges use 7233399. T320/T630/T650/T750/T770 have serial-specific ranges.",Suspension undercarriage / leaf-spring suspension system; newer suspension mount style; bolts sold separately. Not interchangeable with solid mount.,Previous solid mount post/nut version is 6732901; regular bolt-style solid mount roller is 6689371.,Bobcat 6693239 Bottom Roller | Rubber Track Wholesale,Bobcat Suspension Mount Bottom Roller 6693239 - Low Serials,Replacement bottom roller 6693239 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Bobcat-sup-sup-Suspension-Rollers-6693239-16p3071.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
2,Bobcat,roller,bottom,bottom_roller,6698047,,7323310,Bobcat T870 Suspension Mount Bottom Roller,Bobcat T870 torsion / suspension mount track loader; lower serial ranges before B47 break,"Prior to B47 serial break used 6698047; B47C11001+, B47L11001+, B47H11001+ use 7323310.",T870 torsion/suspension mount system. Verify solid vs suspension mount.,RubberTrax says 7323310 is not interchangeable with smaller/previous Bobcat track loader rollers.,Bobcat 6698047 Bottom Roller | Rubber Track Wholesale,Bobcat T870 Suspension Mount Bottom Roller,Replacement bottom roller 6698047 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Bobcat-T870-SUSPENSION-MOUNT-Bottom-Roller-16p3150.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
3,Bobcat,roller,bottom,bottom_roller,6732901,6689371|6686632,6689371; 6686632; 31C1224 bolts,Bobcat CTL Bolt Style Bottom Roller / rigid mount family,"Bobcat T140, T180, T190, T200, T250, T300, T320, T550, T590, T630, T650, T750, T770, 864","T630 AJDT11001-AJDT12076 solid mount; T550 A7UJ11001+ / AJZV11001-AJZV13999; T590 A3NR11001-A3NR15598, A3NS11001-A3NS11999, ALJU11001-ALJU16824, B37811001-B37811103; T750 ANKA11001+ / ATF611001+; T770 requires serial/type verification.",Solid mount / rigid mount CTL bottom roller; newer bolt option; prior version post/nut 6732901. Not for suspension mount.,6689371/6686632 are common dealer part numbers; bolt hardware may be 31C1224.,Bobcat 6732901 Bottom Roller | Rubber Track Wholesale,Bobcat CTL Bolt Style Bottom Roller / rigid mount family,Replacement bottom roller 6732901 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Bobcat-CTL-Bolt-Style-Bottom-Rollers-6689371-16p407.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
4,Bobcat,roller,bottom,bottom_roller,6800510,6533654,6815115; 6814878; 6533654,Bobcat 6800510 Bottom Roller,"Bobcat 220; Bobcat mini excavators 220, 320, 320D, 320J, 322, 322D, 322G, 323",,Nut mounted,"Source was Summit Rubber Tracks / Parts ASAP, not RubberTrax.",Bobcat 6800510 Bottom Roller | Rubber Track Wholesale,Bobcat 6800510 Bottom Roller,Replacement bottom roller 6800510 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,High,EXTRACTED - non-RubberTrax source reviewed,NO - non-RubberTrax source,DO NOT PUBLISH - needs RubberTrax verification,NO,https://www.summitrubbertracks.com/Bottom-Roller-BR064,Non-RubberTrax source; do not publish unless owner manually approves.
5,Bobcat,roller,bottom,bottom_roller,6814874,,6815111; 7136983,Bobcat 320/322 Bottom Track Roller; Bobcat 335/430 Carrier Roller,"Bottom roller: Bobcat 320D, 320E, 320G, 320J, 320L, 322D, 322E, 322G, 322J, 322L. Top/carrier roller: Bobcat 335, 430.",Does not fit serial numbers 511720000-5117300000; rubber-track-original undercarriages only; verify serial.,Bottom roller for Bobcat 320/322; carrier/top roller on Bobcat 335/430; phased out/replaced by 7136983 bolt-type installation.,Shaft threading M16; max torque 250 Nm / 185 ft-lb noted by RubberTrax.,Bobcat 6814874 Bottom Roller | Rubber Track Wholesale,Bobcat 320/322 Bottom Track Roller; Bobcat 335/430 Carrier Roller,Replacement bottom roller 6814874 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Bobcat-sup-sup-320-322-Bottom-Track-Roller-430-335-Carrier-Roller-16p256.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
6,Bobcat,roller,bottom,bottom_roller,6814882,,6815119; 7013575; 7013581; 7019167; 6810770,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",Steel track machines may use alternate roller 6814886.,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,Bobcat 6814882 Bottom Roller | Rubber Track Wholesale,Bobcat 331/335/430 Mini Excavator Bottom Roller,Replacement bottom roller 6814882 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Bobcat-sup-sup-331-335-6814882-Bottom-Rollers-16p34.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
7,Bobcat,roller,bottom,bottom_roller,6814890,,6815127; 6693496; 7013577; 7279612,Bobcat 337/341/435 Bottom Roller,"Bobcat 337, 337D, X337, 341, 341G, 435, X435",,Previous generation threaded post/nut-style roller; superseded to bolt-type 7013577 / 7279612.,Five bottom rollers per side on Bobcat 337 noted by RubberTrax.,Bobcat 6814890 Bottom Roller | Rubber Track Wholesale,Bobcat 337/341/435 Bottom Roller,Replacement bottom roller 6814890 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Bobcat-sup-sup-models-337-341-435-Bottom-Roller-16p264.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
8,Bobcat,roller,bottom,bottom_roller,7013577,,7279612; 6814890; 7314059,Bobcat E45-E55 Bottom Roller 7013577 / 7279612,"Bobcat E45, E50, E55; also Bobcat 337 through 435.",E50 B4GP11001+ requires outside guide roller. Does not fit E50z or E55z. Steel-track models may have alternate rollers; 7314059 is dual flange version for newer serials not listed.,Newer bolt-style bottom roller; older stud/nut style available separately.,RubberTrax says typically five bottom rollers per side on E45 (ten per machine).,Bobcat 7013577 Bottom Roller | Rubber Track Wholesale,Bobcat E45-E55 Bottom Roller 7013577 / 7279612,Replacement bottom roller 7013577 for Bobcat machines. Verify serial number and fitment before ordering. Call Rubber Track Wholesale for help.,High,EXTRACTED - RubberTrax page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Bobcat-sup-sup-E45-E55-Roller-7013577-184p929.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
9,Bobcat,roller,bottom,bottom_roller,7004933,,,"Bobcat E80, E85","Bobcat E80, E85 ","Fits in Bobcat E85 (B34T11001 & Above, B34S11001 & Above)",,,,Bobcat 7004933 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Bobcat-sup-sup-E80-E85-Aftermarket-Bottom-Roller-27p3070.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
10,Bobcat,roller,bottom,bottom_roller,7013575,,"6814882, 6815119, 6815119, 7013581, 7019167","Bobcat 225, 231, 325, 331, 328, 334, 335, 430, E26, E32, E37, E42, E50 mini excavators. ","Bobcat 225, 231, 325, 331, 328, 334, 335, 430, E26, E32, E37, E42, E50 mini excavators. The same part is also known to be the top carrier roller for Bobcat 337, 442.",,,,,Bobcat 7013575 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Bobcat-sup-sup-331-335-6814882-Bottom-Rollers-16p34.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
