Brand,Model (Raw),Model (Clean),Slug,Track Sizes,Has Bottom Roller Data,Has Sprocket Data,Has Idler Data,Has Carrier Roller Data
"A.X.I.","FR300AA (Crane)","FR300AA","a.x.i.-fr300aa","300x55x82; 300x52.5x84","NO","NO","NO","NO"
"ACM","ME040","ME040","acm-me040","300x55x82; 300x52.5x84","NO","NO","NO","NO"
"ALLEN","AT14F","AT14F","allen-at14f","180x72x37","NO","NO","NO","NO"
"ALLEN","AT16","AT16","allen-at16","180x72x42","NO","NO","NO","NO"
"ALLtrack","AT1500","AT1500","alltrack-at1500","700x100x98","NO","NO","NO","NO"
"ALLtrack","AT2200","AT2200","alltrack-at2200","750x150x66","NO","NO","NO","NO"
"ASV","MD-70","MD-70","asv-md-70","457x101.6x56","NO","NO","NO","NO"
"ASV","POSI-TRAC 2800","POSI-TRAC2800","asv-posi-trac2800","457x101.6x56","NO","NO","NO","NO"
"ASV","POSI-TRAC 2810","POSI-TRAC2810","asv-posi-trac2810","457x101.6x56","NO","NO","NO","NO"
"ASV","POSI-TRAC 4800","POSI-TRAC4800","asv-posi-trac4800","457x101.6x56","NO","NO","NO","NO"
"ASV","POSI-TRAC 4810","POSI-TRAC4810","asv-posi-trac4810","457x101.6x56","NO","NO","NO","NO"
"ASV","POSI-TRAC HD4500","POSI-TRAC HD4500","asv-posi-trachd4500","457x101.6x56","NO","NO","NO","NO"
"ASV","POSI-TRAC HD4520","POSI-TRAC HD4520","asv-posi-trachd4520","457x101.6x56","NO","NO","NO","NO"
"ASV","PT 100","PT100","asv-pt100","457x101.6x56","NO","NO","NO","NO"
"ASV","PT 50","PT50","asv-pt50","381x101.6x42","NO","NO","NO","NO"
"ASV","PT 60","PT60","asv-pt60","381x101.6x42","NO","NO","NO","NO"
"ASV","PT 80","PT80","asv-pt80","457x101.6x51","NO","NO","NO","NO"
"ASV","RC 100","RC100","asv-rc100","457x101.6x50","NO","NO","NO","NO"
"ASV","RC 50","RC50","asv-rc50","381x101.6x42","NO","NO","NO","NO"
"ASV","RC 60","RC60","asv-rc60","381x101.6x42","NO","NO","NO","NO"
"ASV","RC 85","RC85","asv-rc85","457x101.6x50","NO","NO","NO","NO"
"ASV","RCV","RCV","asv-rcv","457x101.6x50","NO","NO","NO","NO"
"ASV","RT 50","RT50","asv-rt50","381x101.6x42","NO","NO","NO","NO"
"ASV","RT 65","RT65","asv-rt65","381x101.6x42","NO","NO","NO","NO"
"ASV","RT 75","RT75","asv-rt75","457x101.6x51","NO","NO","NO","NO"
"ASV","SC-50","SC-50","asv-sc-50","381x101.6x42","NO","NO","NO","NO"
"ASV","SR-80","SR-80","asv-sr-80","457x101.6x51","NO","NO","NO","NO"
"ASV","ST-50","ST-50","asv-st-50","381x101.6x42","NO","NO","NO","NO"
"ASV","VT-70","VT-70","asv-vt-70","381x101.6x42","NO","NO","NO","NO"
"ATN","ATN | PIAF450 (Platform - non-marking tracks)","ATN | PIAF450","atn-atnpiaf450","230x96x32; 230x48x64","NO","NO","NO","NO"
"ATN","ATN | PIAF560 (Platform - non-marking tracks)","ATN | PIAF560","atn-atnpiaf560","230x96x32; 230x48x64","NO","NO","NO","NO"
"ATN","ATN | PIAF800 (Platform - non-marking tracks)","ATN | PIAF800","atn-atnpiaf800","230x96x34; 230x48x68","NO","NO","NO","NO"
"ATN","ATN | PIAF810","ATN | PIAF810","atn-atnpiaf810","230x96x34; 230x48x68","NO","NO","NO","NO"
"ATN","ATN | PIAF811","ATN | PIAF811","atn-atnpiaf811","230x96x34; 230x48x68","NO","NO","NO","NO"
"Abbati","BBT954-5.16","BBT954-5.16","abbati-bbt954-516","180x72x37","NO","NO","NO","NO"
"Abbati","BBT954-5.17","BBT954-5.17","abbati-bbt954-517","180x60x38","NO","NO","NO","NO"
"Aces","HTC500 (Dumper)","HTC500","aces-htc500","180x60x37","NO","NO","NO","NO"
"Active","PT1300","PT1300","active-pt1300","180x60x30","NO","NO","NO","NO"
"Active","PT1320","PT1320","active-pt1320","180x60x34","NO","NO","NO","NO"
"Active","PT1460","PT1460","active-pt1460","180x60x37","NO","NO","NO","NO"
"Agri","DM10","DM10","agri-dm10","230x72x43","NO","NO","NO","NO"
"Aichi","FR300 (Crane)","FR300","aichi-fr300","300x55x82; 300x52.5x84","NO","NO","NO","NO"
"Aichi","RM040","RM040","aichi-rm040","200x72x42","NO","NO","NO","NO"
"Aichi","RV040 (Lifting platform)","RV040","aichi-rv040","200x72x42","NO","NO","NO","NO"
"Aichi","RV041 (Lifting platform)","RV041","aichi-rv041","200x72x42","NO","NO","NO","NO"
"Aichi","RV042 (Lifting platform)","RV042","aichi-rv042","230x72x50","NO","NO","NO","NO"
"Aichi","RV04A (Lifting platform)","RV04A","aichi-rv04a","230x72x42; 200x72x42","NO","NO","NO","NO"
"Aichi","RV060 (Lifting platform)","RV060","aichi-rv060","230x72x56","NO","NO","NO","NO"
"Aichi","RV061 (Lifting platform)","RV061","aichi-rv061","230x72x56","NO","NO","NO","NO"
"Airman","AX 17","AX17","airman-ax17","230x96x33; 230x48x66","NO","NO","NO","NO"
"Airman","AX 17 - 2","AX17 - 2","airman-ax17-2","230x96x33; 230x48x66","NO","NO","NO","NO"
"Airman","AX 17 - 2N","AX17 - 2N","airman-ax17-2n","230x96x33; 230x48x66","NO","NO","NO","NO"
"Airman","AX 17CGL-2N","AX17CGL-2N","airman-ax17cgl-2n","230x96x33; 230x48x66","NO","NO","NO","NO"
"Airman","AX 17U","AX17U","airman-ax17u","230x96x35; 230x48x70","NO","NO","NO","NO"
"Airman","AX08","AX08","airman-ax08","180x72x37","NO","NO","NO","NO"
"Airman","AX08-02","AX08-02","airman-ax08-02","180x72x37","NO","NO","NO","NO"
"Airman","AX08-2KT","AX08-2KT","airman-ax08-2kt","180x72x37","NO","NO","NO","NO"
"Airman","AX08GL-2","AX08GL-2","airman-ax08gl-2","180x72x37","NO","NO","NO","NO"
"Airman","AX10U","AX10U","airman-ax10u","180x72x40","NO","NO","NO","NO"
"Airman","AX12","AX12","airman-ax12","230x96x31; 230x48x62","NO","NO","NO","NO"
"Airman","AX12-2","AX12-2","airman-ax12-2","230x96x31; 230x48x62","NO","NO","NO","NO"
"Airman","AX15","AX15","airman-ax15","230x96x31; 230x48x62","NO","NO","NO","NO"
"Airman","AX15 U","AX15U","airman-ax15u","230x96x31; 230x48x62","NO","NO","NO","NO"
"Airman","AX15-2","AX15-2","airman-ax15-2","230x96x31; 230x48x62","NO","NO","NO","NO"
