Brand,Model,Slug,Track Size
"A.X.I.","FR300AA","a.x.i.-fr300aa","300x55x82"
"A.X.I.","FR300AA","a.x.i.-fr300aa","300x52.5x84"
"ACM","ME040","acm-me040","300x55x82"
"ACM","ME040","acm-me040","300x52.5x84"
"ALLEN","AT14F","allen-at14f","180x72x37"
"ALLEN","AT16","allen-at16","180x72x42"
"ALLtrack","AT1500","alltrack-at1500","700x100x98"
"ALLtrack","AT2200","alltrack-at2200","750x150x66"
"ASV","MD-70","asv-md-70","457x101.6x56"
"ASV","POSI-TRAC2800","asv-posi-trac2800","457x101.6x56"
"ASV","POSI-TRAC2810","asv-posi-trac2810","457x101.6x56"
"ASV","POSI-TRAC4800","asv-posi-trac4800","457x101.6x56"
"ASV","POSI-TRAC4810","asv-posi-trac4810","457x101.6x56"
"ASV","POSI-TRAC HD4500","asv-posi-trachd4500","457x101.6x56"
"ASV","POSI-TRAC HD4520","asv-posi-trachd4520","457x101.6x56"
"ASV","PT100","asv-pt100","457x101.6x56"
"ASV","PT50","asv-pt50","381x101.6x42"
"ASV","PT60","asv-pt60","381x101.6x42"
"ASV","PT80","asv-pt80","457x101.6x51"
"ASV","RC100","asv-rc100","457x101.6x50"
"ASV","RC50","asv-rc50","381x101.6x42"
"ASV","RC60","asv-rc60","381x101.6x42"
"ASV","RC85","asv-rc85","457x101.6x50"
"ASV","RCV","asv-rcv","457x101.6x50"
"ASV","RT50","asv-rt50","381x101.6x42"
"ASV","RT65","asv-rt65","381x101.6x42"
"ASV","RT75","asv-rt75","457x101.6x51"
"ASV","SC-50","asv-sc-50","381x101.6x42"
"ASV","SR-80","asv-sr-80","457x101.6x51"
"ASV","ST-50","asv-st-50","381x101.6x42"
"ASV","VT-70","asv-vt-70","381x101.6x42"
"ATN","ATN | PIAF450","atn-atnpiaf450","230x96x32"
"ATN","ATN | PIAF450","atn-atnpiaf450","230x48x64"
"ATN","ATN | PIAF560","atn-atnpiaf560","230x96x32"
"ATN","ATN | PIAF560","atn-atnpiaf560","230x48x64"
"ATN","ATN | PIAF800","atn-atnpiaf800","230x96x34"
"ATN","ATN | PIAF800","atn-atnpiaf800","230x48x68"
"ATN","ATN | PIAF810","atn-atnpiaf810","230x96x34"
"ATN","ATN | PIAF810","atn-atnpiaf810","230x48x68"
"ATN","ATN | PIAF811","atn-atnpiaf811","230x96x34"
"ATN","ATN | PIAF811","atn-atnpiaf811","230x48x68"
"Abbati","BBT954-5.16","abbati-bbt954-516","180x72x37"
"Abbati","BBT954-5.17","abbati-bbt954-517","180x60x38"
"Aces","HTC500","aces-htc500","180x60x37"
"Active","PT1300","active-pt1300","180x60x30"
"Active","PT1320","active-pt1320","180x60x34"
"Active","PT1460","active-pt1460","180x60x37"
"Agri","DM10","agri-dm10","230x72x43"
"Aichi","FR300","aichi-fr300","300x55x82"
"Aichi","FR300","aichi-fr300","300x52.5x84"
"Aichi","RM040","aichi-rm040","200x72x42"
"Aichi","RV040","aichi-rv040","200x72x42"
"Aichi","RV041","aichi-rv041","200x72x42"
"Aichi","RV042","aichi-rv042","230x72x50"
"Aichi","RV04A","aichi-rv04a","230x72x42"
"Aichi","RV04A","aichi-rv04a","200x72x42"
"Aichi","RV060","aichi-rv060","230x72x56"
"Aichi","RV061","aichi-rv061","230x72x56"
"Airman","AX17","airman-ax17","230x96x33"
"Airman","AX17","airman-ax17","230x48x66"
"Airman","AX17 - 2","airman-ax17-2","230x96x33"
"Airman","AX17 - 2","airman-ax17-2","230x48x66"
"Airman","AX17 - 2N","airman-ax17-2n","230x96x33"
"Airman","AX17 - 2N","airman-ax17-2n","230x48x66"
"Airman","AX17CGL-2N","airman-ax17cgl-2n","230x96x33"
"Airman","AX17CGL-2N","airman-ax17cgl-2n","230x48x66"
"Airman","AX17U","airman-ax17u","230x96x35"
"Airman","AX17U","airman-ax17u","230x48x70"
"Airman","AX08","airman-ax08","180x72x37"
"Airman","AX08-02","airman-ax08-02","180x72x37"
"Airman","AX08-2KT","airman-ax08-2kt","180x72x37"
"Airman","AX08GL-2","airman-ax08gl-2","180x72x37"
"Airman","AX10U","airman-ax10u","180x72x40"
"Airman","AX12","airman-ax12","230x96x31"
