Brand,Model,Slug
"Bobcat","220","bobcat-220"
"Bobcat","225","bobcat-225"
"Bobcat","231","bobcat-231"
"Bobcat","320","bobcat-320"
"Bobcat","320L","bobcat-320l"
"Bobcat","320D","bobcat-320d"
"Bobcat","320E","bobcat-320e"
"Bobcat","320G","bobcat-320g"
"Bobcat","320J","bobcat-320j"
"Bobcat","322","bobcat-322"
"Bobcat","322D","bobcat-322d"
"Bobcat","322E","bobcat-322e"
"Bobcat","322G","bobcat-322g"
"Bobcat","322J","bobcat-322j"
"Bobcat","322L","bobcat-322l"
"Bobcat","323","bobcat-323"
"Bobcat","325","bobcat-325"
"Bobcat","328","bobcat-328"
"Bobcat","328G","bobcat-328g"
"Bobcat","331","bobcat-331"
"Bobcat","331D","bobcat-331d"
"Bobcat","331E","bobcat-331e"
"Bobcat","331G","bobcat-331g"
"Bobcat","334","bobcat-334"
"Bobcat","334D","bobcat-334d"
"Bobcat","335","bobcat-335"
"Bobcat","337","bobcat-337"
"Bobcat","337D","bobcat-337d"
"Bobcat","337G","bobcat-337g"
"Bobcat","341","bobcat-341"
"Bobcat","341D","bobcat-341d"
"Bobcat","341G","bobcat-341g"
"Bobcat","418","bobcat-418"
"Bobcat","418A","bobcat-418a"
"Bobcat","430","bobcat-430"
"Bobcat","430D","bobcat-430d"
"Bobcat","430G","bobcat-430g"
"Bobcat","430ZHS","bobcat-430zhs"
"Bobcat","430ZTS","bobcat-430zts"
"Bobcat","435","bobcat-435"
"Bobcat","442","bobcat-442"
"Bobcat","864","bobcat-864"
"Bobcat","864H","bobcat-864h"
"Bobcat","E08","bobcat-e08"
"Bobcat","E10","bobcat-e10"
"Bobcat","E10Z","bobcat-e10z"
"Bobcat","E10e","bobcat-e10e"
"Bobcat","E26","bobcat-e26"
"Bobcat","E32","bobcat-e32"
"Bobcat","E32C","bobcat-e32c"
"Bobcat","E37","bobcat-e37"
"Bobcat","E42","bobcat-e42"
"Bobcat","E45","bobcat-e45"
"Bobcat","E50","bobcat-e50"
"Bobcat","E55","bobcat-e55"
"Bobcat","E60","bobcat-e60"
"Bobcat","E62","bobcat-e62"
"Bobcat","E63","bobcat-e63"
"Bobcat","E80","bobcat-e80"
"Bobcat","E85","bobcat-e85"
"Bobcat","S220","bobcat-s220"
"Bobcat","T110","bobcat-t110"
"Bobcat","T140","bobcat-t140"
"Bobcat","T180","bobcat-t180"
"Bobcat","T180H","bobcat-t180h"
"Bobcat","T190","bobcat-t190"
"Bobcat","T190H","bobcat-t190h"
"Bobcat","T200","bobcat-t200"
"Bobcat","T250","bobcat-t250"
"Bobcat","T250H","bobcat-t250h"
"Bobcat","T300","bobcat-t300"
"Bobcat","T300H","bobcat-t300h"
"Bobcat","T320","bobcat-t320"
"Bobcat","T550","bobcat-t550"
"Bobcat","T590","bobcat-t590"
"Bobcat","T595","bobcat-t595"
"Bobcat","T630","bobcat-t630"
"Bobcat","T650","bobcat-t650"
"Bobcat","T750","bobcat-t750"
"Bobcat","T770","bobcat-t770"
"Bobcat","T870","bobcat-t870"
"Bobcat","X220","bobcat-x220"
"Bobcat","X225","bobcat-x225"
"Bobcat","X231","bobcat-x231"
"Bobcat","X320","bobcat-x320"
"Bobcat","X320D","bobcat-x320d"
"Bobcat","X320E","bobcat-x320e"
"Bobcat","X322","bobcat-x322"
"Bobcat","X322D","bobcat-x322d"
"Bobcat","X322E","bobcat-x322e"
"Bobcat","X322G","bobcat-x322g"
"Bobcat","X323","bobcat-x323"
"Bobcat","X325","bobcat-x325"
"Bobcat","X328","bobcat-x328"
"Bobcat","X328E","bobcat-x328e"
"Bobcat","X331","bobcat-x331"
"Bobcat","X331E","bobcat-x331e"
"Bobcat","X334","bobcat-x334"
"Bobcat","X334G","bobcat-x334g"
"Bobcat","X337","bobcat-x337"
"Bobcat","X341","bobcat-x341"
"Bobcat","X418","bobcat-x418"
"Bobcat","X430","bobcat-x430"
"Bobcat","X435","bobcat-x435"
"Bobcat","X442","bobcat-x442"
"Bobcat","X442B","bobcat-x442b"
"Bobcat","X442ZTS","bobcat-x442zts"
"Bobcat","ZX75","bobcat-zx75"
"CAT","226","cat-226"
"CAT","226B","cat-226b"
"CAT","228","cat-228"
"CAT","259","cat-259"
"CAT","259B","cat-259b"
"CAT","259B3","cat-259b3"
"CAT","259D","cat-259d"
"CAT","259D3","cat-259d3"
"CAT","265","cat-265"
"CAT","267","cat-267"
"CAT","267B","cat-267b"
