Brand,Model,Slug
"Bobcat","320","bobcat-320"
"Bobcat","T110","bobcat-t110"
"Bobcat","T200","bobcat-t200"
"Bobcat","T250","bobcat-t250"
"Bobcat","T250H","bobcat-t250h"
"Bobcat","T300","bobcat-t300"
"Bobcat","T300H","bobcat-t300h"
"Bobcat","T320","bobcat-t320"
"Bobcat","T450","bobcat-t450"
"Bobcat","T590","bobcat-t590"
"Bobcat","T595","bobcat-t595"
"Bobcat","T630","bobcat-t630"
"Bobcat","T650","bobcat-t650"
"Bobcat","T740","bobcat-t740"
"Bobcat","T750","bobcat-t750"
"Bobcat","T770","bobcat-t770"
"Bobcat","T870","bobcat-t870"
"CAT","228","cat-228"
"CAT","239D","cat-239d"
"CAT","239DLRC","cat-239dlrc"
"CAT","239DR","cat-239dr"
"CAT","249D","cat-249d"
"CAT","249D3","cat-249d3"
"CAT","249DLRC","cat-249dlrc"
"CAT","255","cat-255"
"CAT","259","cat-259"
"CAT","259B","cat-259b"
"CAT","259B3","cat-259b3"
"CAT","259D","cat-259d"
"CAT","259D3","cat-259d3"
"CAT","259DLRC","cat-259dlrc"
"CAT","265","cat-265"
"CAT","279","cat-279"
"CAT","279C","cat-279c"
"CAT","279C2","cat-279c2"
"CAT","279D","cat-279d"
"CAT","279D2","cat-279d2"
"CAT","279D3","cat-279d3"
"CAT","289C","cat-289c"
"CAT","289C2","cat-289c2"
"CAT","289D","cat-289d"
"CAT","289D2","cat-289d2"
"CAT","289D3","cat-289d3"
"CAT","299C","cat-299c"
"CAT","299C2","cat-299c2"
"CAT","299D","cat-299d"
"CAT","299D2","cat-299d2"
"CAT","299D3","cat-299d3"
"CAT","299D3XE","cat-299d3xe"
"CAT","299DR","cat-299dr"
"Kubota","KX080","kubota-kx080"
"Kubota","KX080-3","kubota-kx080-3"
"Kubota","KX080-4","kubota-kx080-4"
"Kubota","KX080-4S2","kubota-kx080-4s2"
"Kubota","KX080-5","kubota-kx080-5"
"Kubota","KX101","kubota-kx101"
"Kubota","KX101-3","kubota-kx101-3"
"Kubota","KX101-3&2","kubota-kx101-32"
"Kubota","KX101-3&3","kubota-kx101-33"
"Kubota","KX101-3&4","kubota-kx101-34"
"Kubota","KX12","kubota-kx12"
"Kubota","KX121-2","kubota-kx121-2"
"Kubota","KX121-2S","kubota-kx121-2s"
"Kubota","KX121-2SS","kubota-kx121-2ss"
"Kubota","KX71","kubota-kx71"
"Kubota","KX71-3","kubota-kx71-3"
"Kubota","KX71-3GL","kubota-kx71-3gl"
"Kubota","KX91-2","kubota-kx91-2"
"Kubota","KX91-2SS","kubota-kx91-2ss"
"Kubota","KX91-2S","kubota-kx91-2s"
"Kubota","KX91-2SR","kubota-kx91-2sr"
"Kubota","KX91-3","kubota-kx91-3"
"Kubota","KX91-3&-2","kubota-kx91-3-2"
"Kubota","SVL65-2","kubota-svl65-2"
"Kubota","SVL65-2C","kubota-svl65-2c"
"Kubota","SVL75","kubota-svl75"
"Kubota","SVL75-2","kubota-svl75-2"
"Kubota","SVL75-2C","kubota-svl75-2c"
"Kubota","SVL75C","kubota-svl75c"
"Kubota","SVL90","kubota-svl90"
"Kubota","SVL90-2","kubota-svl90-2"
"Kubota","SVL90-2C","kubota-svl90-2c"
"Kubota","SVL90C","kubota-svl90c"
"Kubota","SVL95","kubota-svl95"
"Kubota","SVL95-2","kubota-svl95-2"
"Kubota","SVL95-2s","kubota-svl95-2s"
"Kubota","SVL95-2SC","kubota-svl95-2sc"
"Kubota","SVL97-2","kubota-svl97-2"
"Kubota","SVL97-2C","kubota-svl97-2c"
"Kubota","U-25-3","kubota-u-25-3"
"Kubota","U-25-3G","kubota-u-25-3g"
"Kubota","U-25-3GL","kubota-u-25-3gl"
"Kubota","U25","kubota-u25"
"Kubota","U-35","kubota-u-35"
"Kubota","U-35-3","kubota-u-35-3"
"Kubota","U-35-3&2","kubota-u-35-32"
"Kubota","U-35-3G","kubota-u-35-3g"
"Kubota","U-35-3GAI","kubota-u-35-3gai"
"Kubota","U-35-3HG","kubota-u-35-3hg"
"Kubota","U-35-4","kubota-u-35-4"
"Kubota","U-35HG","kubota-u-35hg"
"Kubota","U-35SS","kubota-u-35ss"
"Kubota","U35-S2","kubota-u35-s2"
"Takeuchi","TB228","takeuchi-tb228"
"Takeuchi","TB230","takeuchi-tb230"
"Takeuchi","TB240","takeuchi-tb240"
"Takeuchi","TB250-2","takeuchi-tb250-2"
"Takeuchi","TB257FR","takeuchi-tb257fr"
"Takeuchi","TB260","takeuchi-tb260"
"Takeuchi","TB370","takeuchi-tb370"
