URL,Type,Brand,Model,Component,Has Data (Indexed)
"/machines/a.x.i.-fr300aa","machine","A.X.I.","FR300AA","","YES"
"/machines/acm-me040","machine","ACM","ME040","","YES"
"/machines/allen-at14f","machine","ALLEN","AT14F","","YES"
"/machines/allen-at16","machine","ALLEN","AT16","","YES"
"/machines/alltrack-at1500","machine","ALLtrack","AT1500","","YES"
"/machines/alltrack-at2200","machine","ALLtrack","AT2200","","YES"
"/machines/asv-md-70","machine","ASV","MD-70","","YES"
"/machines/asv-posi-trac2800","machine","ASV","POSI-TRAC2800","","YES"
"/machines/asv-posi-trac2810","machine","ASV","POSI-TRAC2810","","YES"
"/machines/asv-posi-trac4800","machine","ASV","POSI-TRAC4800","","YES"
"/machines/asv-posi-trac4810","machine","ASV","POSI-TRAC4810","","YES"
"/machines/asv-posi-trachd4500","machine","ASV","POSI-TRAC HD4500","","YES"
"/machines/asv-posi-trachd4520","machine","ASV","POSI-TRAC HD4520","","YES"
"/machines/asv-pt100","machine","ASV","PT100","","YES"
"/machines/asv-pt50","machine","ASV","PT50","","YES"
"/machines/asv-pt60","machine","ASV","PT60","","YES"
"/machines/asv-pt80","machine","ASV","PT80","","YES"
"/machines/asv-rc100","machine","ASV","RC100","","YES"
"/machines/asv-rc50","machine","ASV","RC50","","YES"
"/machines/asv-rc60","machine","ASV","RC60","","YES"
"/machines/asv-rc85","machine","ASV","RC85","","YES"
"/machines/asv-rcv","machine","ASV","RCV","","YES"
"/machines/asv-rt50","machine","ASV","RT50","","YES"
"/machines/asv-rt65","machine","ASV","RT65","","YES"
"/machines/asv-rt75","machine","ASV","RT75","","YES"
"/machines/asv-sc-50","machine","ASV","SC-50","","YES"
"/machines/asv-sr-80","machine","ASV","SR-80","","YES"
"/machines/asv-st-50","machine","ASV","ST-50","","YES"
"/machines/asv-vt-70","machine","ASV","VT-70","","YES"
"/machines/atn-atnpiaf450","machine","ATN","ATN | PIAF450","","YES"
"/machines/atn-atnpiaf560","machine","ATN","ATN | PIAF560","","YES"
"/machines/atn-atnpiaf800","machine","ATN","ATN | PIAF800","","YES"
"/machines/atn-atnpiaf810","machine","ATN","ATN | PIAF810","","YES"
"/machines/atn-atnpiaf811","machine","ATN","ATN | PIAF811","","YES"
"/machines/abbati-bbt954-516","machine","Abbati","BBT954-5.16","","YES"
"/machines/abbati-bbt954-517","machine","Abbati","BBT954-5.17","","YES"
"/machines/aces-htc500","machine","Aces","HTC500","","YES"
"/machines/active-pt1300","machine","Active","PT1300","","YES"
"/machines/active-pt1320","machine","Active","PT1320","","YES"
"/machines/active-pt1460","machine","Active","PT1460","","YES"
"/machines/agri-dm10","machine","Agri","DM10","","YES"
"/machines/aichi-fr300","machine","Aichi","FR300","","YES"
"/machines/aichi-rm040","machine","Aichi","RM040","","YES"
"/machines/aichi-rv040","machine","Aichi","RV040","","YES"
"/machines/aichi-rv041","machine","Aichi","RV041","","YES"
"/machines/aichi-rv042","machine","Aichi","RV042","","YES"
"/machines/aichi-rv04a","machine","Aichi","RV04A","","YES"
"/machines/aichi-rv060","machine","Aichi","RV060","","YES"
"/machines/aichi-rv061","machine","Aichi","RV061","","YES"
"/machines/airman-ax17","machine","Airman","AX17","","YES"
"/machines/airman-ax17-2","machine","Airman","AX17 - 2","","YES"
"/machines/airman-ax17-2n","machine","Airman","AX17 - 2N","","YES"
"/machines/airman-ax17cgl-2n","machine","Airman","AX17CGL-2N","","YES"
"/machines/airman-ax17u","machine","Airman","AX17U","","YES"
"/machines/airman-ax08","machine","Airman","AX08","","YES"
"/machines/airman-ax08-02","machine","Airman","AX08-02","","YES"
"/machines/airman-ax08-2kt","machine","Airman","AX08-2KT","","YES"
"/machines/airman-ax08gl-2","machine","Airman","AX08GL-2","","YES"
"/machines/airman-ax10u","machine","Airman","AX10U","","YES"
"/machines/airman-ax12","machine","Airman","AX12","","YES"
"/machines/airman-ax12-2","machine","Airman","AX12-2","","YES"
"/machines/airman-ax15","machine","Airman","AX15","","YES"
"/machines/airman-ax15u","machine","Airman","AX15U","","YES"
"/machines/airman-ax15-2","machine","Airman","AX15-2","","YES"
"/machines/airman-ax16","machine","Airman","AX16","","YES"
"/machines/airman-ax16-2","machine","Airman","AX16-2","","YES"
"/machines/airman-ax16-3","machine","Airman","AX16-3","","YES"
"/machines/airman-ax16cbl-3","machine","Airman","AX16CBL-3","","YES"
"/machines/airman-ax18-2","machine","Airman","AX18-2","","YES"
"/machines/airman-ax19u","machine","Airman","AX19U","","YES"
"/machines/airman-ax20-3","machine","Airman","AX20-3","","YES"
"/machines/airman-ax20u","machine","Airman","AX20U","","YES"
"/machines/airman-ax20ur","machine","Airman","AX20UR","","YES"
"/machines/airman-ax22","machine","Airman","AX22","","YES"
"/machines/airman-ax22-1","machine","Airman","AX22-1","","YES"
"/machines/airman-ax22-2","machine","Airman","AX22-2","","YES"
"/machines/airman-ax22cgl","machine","Airman","AX22CGL","","YES"
"/machines/airman-ax22ucgl","machine","Airman","AX22UCGL","","YES"
"/machines/airman-ax22ucgl4","machine","Airman","AX22UCGL4","","YES"
"/machines/airman-ax25","machine","Airman","AX25","","YES"
"/machines/airman-ax25-1","machine","Airman","AX25-1","","YES"
"/machines/airman-ax25-2","machine","Airman","AX25-2","","YES"
"/machines/airman-ax25-3","machine","Airman","AX25-3","","YES"
"/machines/airman-ax26u-6","machine","Airman","AX26U-6","","YES"
"/machines/airman-ax27","machine","Airman","AX27","","YES"
"/machines/airman-ax27u","machine","Airman","AX27U","","YES"
"/machines/airman-ax27u-4","machine","Airman","AX27U-4","","YES"
"/machines/airman-ax29ucgl","machine","Airman","AX29UCGL","","YES"
"/machines/airman-ax30","machine","Airman","AX30","","YES"
"/machines/airman-ax30-1","machine","Airman","AX30-1","","YES"
"/machines/airman-ax30-2","machine","Airman","AX30-2","","YES"
"/machines/airman-ax30-3","machine","Airman","AX30-3","","YES"
"/machines/airman-ax30u-4","machine","Airman","AX30U-4","","YES"
"/machines/airman-ax30ur","machine","Airman","AX30UR","","YES"
"/machines/airman-ax30ur-1","machine","Airman","AX30UR-1","","YES"
"/machines/airman-ax30ur-2","machine","Airman","AX30UR-2","","YES"
"/machines/airman-ax30ur-3","machine","Airman","AX30UR-3","","YES"
"/machines/airman-ax32u","machine","Airman","AX32U","","YES"
"/machines/airman-ax33mu","machine","Airman","AX33MU","","YES"
"/machines/airman-ax33u","machine","Airman","AX33U","","YES"
"/machines/airman-ax33u-6","machine","Airman","AX33U-6","","YES"
"/machines/airman-ax35","machine","Airman","AX35","","YES"
"/machines/airman-ax35-1","machine","Airman","AX35-1","","YES"
"/machines/airman-ax35-2","machine","Airman","AX35-2","","YES"
"/machines/airman-ax35cgl-3","machine","Airman","AX35CGL-3","","YES"
"/machines/airman-ax35u","machine","Airman","AX35U","","YES"
"/machines/airman-ax35u-4","machine","Airman","AX35U-4","","YES"
"/machines/airman-ax36u","machine","Airman","AX36U","","YES"
"/machines/airman-ax36ucgl","machine","Airman","AX36UCGL","","YES"
"/machines/airman-ax38ucgl","machine","Airman","AX38UCGL","","YES"
"/machines/airman-ax40","machine","Airman","AX40","","YES"
"/machines/airman-ax40-2","machine","Airman","AX40-2","","YES"
"/machines/airman-ax40u","machine","Airman","AX40U","","YES"
"/machines/airman-ax40u-4","machine","Airman","AX40U-4","","YES"
"/machines/airman-ax40ur-1","machine","Airman","AX40UR-1","","YES"
"/machines/airman-ax40ur-2","machine","Airman","AX40UR-2","","YES"
"/machines/airman-ax45","machine","Airman","AX45","","YES"
"/machines/airman-ax45-2","machine","Airman","AX45-2","","YES"
"/machines/airman-ax45cgl-2","machine","Airman","AX45CGL-2","","YES"
"/machines/airman-ax50","machine","Airman","AX50","","YES"
"/machines/airman-ax50-2","machine","Airman","AX50-2","","YES"
"/machines/airman-ax50-3","machine","Airman","AX50-3","","YES"
"/machines/airman-ax50u","machine","Airman","AX50U","","YES"
"/machines/airman-ax50u-4","machine","Airman","AX50U-4","","YES"
"/machines/airman-ax50ucgl","machine","Airman","AX50UCGL","","YES"
"/machines/airman-ax52ucgl-5","machine","Airman","AX52UCGL-5","","YES"
"/machines/airman-ax55u-6a","machine","Airman","AX55U-6A","","YES"
"/machines/airman-ax55ur","machine","Airman","AX55UR","","YES"
"/machines/airman-ax55ur-3","machine","Airman","AX55UR-3","","YES"
"/machines/airman-ax58","machine","Airman","AX58","","YES"
"/machines/airman-ax58mu","machine","Airman","AX58MU","","YES"
"/machines/airman-axc12","machine","Airman","AXC12","","YES"
"/machines/airman-axc15","machine","Airman","AXC15","","YES"
"/machines/airman-hm07s","machine","Airman","HM07S","","YES"
